ref_count,n2_year,n2,n1,n1_year
5,2020,914,914,2018
6,2021,914,914,2018
6,2014,916,916,2012
5,2017,916,916,2011
5,2017,916,916,2014
8,2017,916,916,2015
5,2018,916,916,2017
8,2018,916,916,2014
7,2019,916,916,2018
8,2019,916,916,2017
5,2020,916,916,2016
7,2021,916,916,2018
5,2021,916,916,2015
8,2021,916,916,2017
5,2021,916,916,2016
5,2011,970,970,2010
9,2012,970,970,2010
5,2012,970,970,2011
7,2013,970,970,2011
6,2013,970,970,2012
6,2013,970,970,2010
7,2014,970,970,2011
6,2014,970,970,2010
6,2014,970,970,2012
7,2014,970,970,2013
6,2015,970,970,2013
5,2016,970,970,2013
6,2017,970,970,2013
6,2017,970,970,2016
5,2017,970,970,2011
8,2018,970,970,2013
6,2019,970,970,2018
5,2019,970,970,2016
7,2019,970,970,2013
5,2020,970,970,2019
5,2020,970,970,2018
6,2020,970,970,2013
5,2020,970,970,2017
5,2021,970,5109,2017
7,2021,970,970,2020
5,2016,981,981,2014
5,2017,981,981,2015
7,2017,981,981,2016
5,2017,981,981,2014
8,2018,981,981,2014
6,2018,981,981,2016
5,2019,981,2381,2018
7,2019,981,981,2015
9,2019,981,981,2017
9,2019,981,2381,2019
5,2019,981,981,2016
7,2019,981,981,2020
12,2019,981,981,2018
10,2019,981,981,2019
6,2020,981,981,2015
7,2020,981,32237,2019
16,2020,981,981,2018
8,2020,981,981,2014
7,2020,981,981,2016
20,2020,981,981,2020
22,2020,981,981,2019
8,2020,981,981,2017
8,2020,981,4358,2018
5,2020,981,981,2013
16,2020,981,2381,2019
30,2021,981,981,2021
49,2021,981,981,2020
6,2021,981,981,2014
7,2021,981,5109,2019
7,2021,981,5109,2017
15,2021,981,981,2018
5,2021,981,1149,2018
6,2021,981,2381,2018
9,2021,981,1149,2019
11,2021,981,2381,2020
5,2021,981,981,2013
9,2021,981,5109,2018
29,2021,981,981,2019
5,2021,981,981,2015
6,2021,981,32237,2020
5,2021,981,3104,2019
6,2021,981,5109,2016
5,2021,981,24449,2020
16,2021,981,2381,2019
9,2021,981,1149,2020
6,2021,981,1436,2020
7,2021,981,4358,2018
6,2021,981,2381,2017
6,2021,981,981,2016
7,2021,981,32237,2019
10,2021,981,981,2017
5,2020,1011,1011,2019
5,2016,1027,1027,2014
5,2018,1027,1027,2016
9,2019,1027,1027,2018
10,2019,1027,1027,2019
5,2020,1027,1027,2014
5,2020,1027,1027,2016
9,2020,1027,1027,2020
18,2020,1027,1027,2018
22,2020,1027,1027,2019
7,2021,1027,1027,2021
24,2021,1027,1027,2020
9,2021,1027,1149,2020
25,2021,1027,1027,2019
5,2021,1027,1027,2015
13,2021,1027,1027,2018
5,2021,1027,1027,2017
5,2013,1055,1055,2011
5,2014,1055,1055,2010
10,2016,1055,1055,2014
5,2016,1055,1055,2011
6,2017,1055,1055,2014
5,2017,1055,1055,2016
5,2019,1055,1055,2016
6,2020,1055,1055,2014
6,2012,1098,1098,2011
9,2013,1098,1098,2011
8,2013,1098,1098,2010
6,2014,1098,1098,2012
9,2014,1098,1098,2011
7,2014,1098,1098,2010
7,2014,1098,1098,2013
6,2015,1098,1098,2010
6,2015,1098,1098,2013
8,2015,1098,1098,2014
5,2015,1098,1098,2011
10,2015,1098,1098,2012
6,2016,1098,1098,2010
5,2016,1098,536,2015
11,2016,1098,1098,2012
16,2016,1098,1098,2014
12,2016,1098,1098,2015
6,2016,1098,1098,2013
7,2016,1098,1098,2011
11,2017,1098,1098,2014
13,2017,1098,1098,2016
6,2017,1098,1098,2015
6,2017,1098,1098,2011
5,2018,1098,1098,2013
5,2018,1098,1098,2017
6,2018,1098,1098,2011
5,2018,1098,1098,2012
9,2018,1098,1098,2015
9,2018,1098,1098,2014
17,2018,1098,1098,2016
7,2019,1098,1098,2015
5,2019,1098,1098,2019
14,2019,1098,1098,2018
8,2019,1098,1098,2014
13,2019,1098,1098,2016
5,2019,1098,1098,2011
5,2019,1098,1098,2012
7,2020,1098,1098,2013
